Review Title,Review Description,Review Rating,Sentiment,Review,scores,compound,SIA_sentiment_type
awesome high tea,friendly thoughtful staff awesome view served lotha enjoyed lunch thoroughly definitely recommend high tea good vibes clean environment celebrated friend birthday definitely come back,5,2,awesome high teafriendly thoughtful staff awesome view served lotha enjoyed lunch thoroughly definitely recommend high tea good vibes clean environment celebrated friend birthday definitely come back,"{'neg': 0.0, 'neu': 0.298, 'pos': 0.702, 'compound': 0.9876}",0.9876,2
high quality hotel,stunning hotel backed outstanding service construction interior design fullerton bay make unique place stay marina location central gets view across water mbs great one stayed third floor corner room high spec views water two sides rooftop pool special area spending time central singapore lantern bar great vantage point evening drinks watching light show hotel feels relaxed less touristy mbs works mbs slight experience certainly also worth checking stayed twenty two month old daughter two nights service exceptionally good welcoming though perhaps vibe better suited families shangri la two nights end trip memorable thoroughly enjoyed stay alvin butler indra reception particularly helpful nothing much trouble welcome travelling toddler much appreciated colleagues also kind perhaps best recommended couples want chilled high end boutique experience five star review easy decision,5,2,high quality hotelstunning hotel backed outstanding service construction interior design fullerton bay make unique place stay marina location central gets view across water mbs great one stayed third floor corner room high spec views water two sides rooftop pool special area spending time central singapore lantern bar great vantage point evening drinks watching light show hotel feels relaxed less touristy mbs works mbs slight experience certainly also worth checking stayed twenty two month old daughter two nights service exceptionally good welcoming though perhaps vibe better suited families shangri la two nights end trip memorable thoroughly enjoyed stay alvin butler indra reception particularly helpful nothing much trouble welcome travelling toddler much appreciated colleagues also kind perhaps best recommended couples want chilled high end boutique experience five star review easy decision,"{'neg': 0.015, 'neu': 0.639, 'pos': 0.347, 'compound': 0.9946}",0.9946,2
wonderful th birthday high tea goddaughter,wonderful afternoon spent landing point high tea goddaughter pink themed selection food twg tea love music well curated background jazz music well run outfit bus boy aides led awesome hostess lotha,5,2,wonderful th birthday high tea goddaughterwonderful afternoon spent landing point high tea goddaughter pink themed selection food twg tea love music well curated background jazz music well run outfit bus boy aides led awesome hostess lotha,"{'neg': 0.0, 'neu': 0.657, 'pos': 0.343, 'compound': 0.9451}",0.9451,2
fine dinner la brassiere,service excellent especially manager jj scrumptious food definitely back suitable fine dining birthday celebration nice ambience highly recommended friends relatives,5,2,fine dinner la brassiereservice excellent especially manager jj scrumptious food definitely back suitable fine dining birthday celebration nice ambience highly recommended friends relatives,"{'neg': 0.0, 'neu': 0.369, 'pos': 0.631, 'compound': 0.9679}",0.9679,2
honeymoon best meal life,came f brunch excellent host jj rest staff incredibly accommodating husband best meal lives glad honeymoon fullerton wait come back singapore stay entirety trip thank,5,2,honeymoon best meal lifecame f brunch excellent host jj rest staff incredibly accommodating husband best meal lives glad honeymoon fullerton wait come back singapore stay entirety trip thank,"{'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.9618}",0.9618,2
pay get,went staycation celebrate birthday service starts entrance way check counter escorted throughout also engaged small talks service absolutely top notch upon checking room relatively big clean room came bose bluetooth speaker tv good selection cable channels also small balcony excellent view could chill admire scenery though high price tag believe truly one kind experience definitely return,5,2,pay getwent staycation celebrate birthday service starts entrance way check counter escorted throughout also engaged small talks service absolutely top notch upon checking room relatively big clean room came bose bluetooth speaker tv good selection cable channels also small balcony excellent view could chill admire scenery though high price tag believe truly one kind experience definitely return,"{'neg': 0.018, 'neu': 0.595, 'pos': 0.387, 'compound': 0.9808}",0.9808,2
high tea,came celebrate birthdays disappointed wonderful artisan desserts perfectly portioned servings lotha wayne exceptional job making visit pleasant attentive requests thank also thank making special playing birthday song piano slices cakes great time landing point fullerton bay hotel,5,2,high teacame celebrate birthdays disappointed wonderful artisan desserts perfectly portioned servings lotha wayne exceptional job making visit pleasant attentive requests thank also thank making special playing birthday song piano slices cakes great time landing point fullerton bay hotel,"{'neg': 0.052, 'neu': 0.47, 'pos': 0.478, 'compound': 0.9761}",0.9761,2
best hotel singapore,everything experience fullerton incredible upgraded room bay view amazing decor ambience hotel lovely staff incredible welcoming location beat would highly recommend anyone stay hotel,5,2,best hotel singaporeeverything experience fullerton incredible upgraded room bay view amazing decor ambience hotel lovely staff incredible welcoming location beat would highly recommend anyone stay hotel,"{'neg': 0.0, 'neu': 0.546, 'pos': 0.454, 'compound': 0.9552}",0.9552,2
worst bar singapore anywhere honest,think pretentious entitled place life somethings pushing past us get lift duff duff music entry please wait given standing spot pm take mins get overpriced cocktail get table wait mins get second drink actually never came long take pour beer reason get star due view air conditioned toilets disappointing experience would recommend,1,0,worst bar singapore anywhere honestthink pretentious entitled place life somethings pushing past us get lift duff duff music entry please wait given standing spot pm take mins get overpriced cocktail get table wait mins get second drink actually never came long take pour beer reason get star due view air conditioned toilets disappointing experience would recommend,"{'neg': 0.112, 'neu': 0.782, 'pos': 0.106, 'compound': -0.34}",-0.34,0
birthday cake,went lantern restaurant fullerton bay hotel singapore birthday waiter whose name julius served birthday plate singing appreciated much friend glad thank much,5,2,birthday cakewent lantern restaurant fullerton bay hotel singapore birthday waiter whose name julius served birthday plate singing appreciated much friend glad thank much,"{'neg': 0.0, 'neu': 0.613, 'pos': 0.387, 'compound': 0.9001}",0.9001,2
outstanding service great staff,two day stay made pleasurable friendly attentive staff bars restaurants hotel reception like location easy get underground easy walks major sights singapore great hotel returning,5,2,outstanding service great stafftwo day stay made pleasurable friendly attentive staff bars restaurants hotel reception like location easy get underground easy walks major sights singapore great hotel returning,"{'neg': 0.0, 'neu': 0.425, 'pos': 0.575, 'compound': 0.9801}",0.9801,2
amazing staff beautiful hotel personalized experience,beautiful luxurious entrance hall restaurant complemented amazing staff beautiful room recommend end premier bay st floor breakfast tea dinner food delicious provided confort perks amenities personal intimate experience,5,2,amazing staff beautiful hotel personalized experiencebeautiful luxurious entrance hall restaurant complemented amazing staff beautiful room recommend end premier bay st floor breakfast tea dinner food delicious provided confort perks amenities personal intimate experience,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.9705}",0.9705,2
